title,description,department
A campus intruder broke out,A campus intruder broke out.,ADMIN
A campus intruder broke out,A campus intruder broke out. in Hostel B hallway.!!!,ADMIN
A campus intruder broke out,A campus intruder broke out. in the cafeteria kitchen.,ADMIN
A campus intruder broke out,A campus intruder broke out. in the chemistry lab.,ACADEMIC
A campus intruder broke out,A campus intruder broke out. in the electrical room.,ADMIN
A campus intruder broke out,A campus intruder broke out. in the library basement.,LIBRARY
A campus intruder broke out,A campus intruder broke out. in the library basement.!!!,LIBRARY
A campus intruder broke out,A campus intruder broke out. in the main auditorium.,ADMIN
A campus intruder broke out,A campus intruder broke out. in the main auditorium.!!!,ADMIN
A campus intruder caused serious injuries,A campus intruder caused serious injuries.,MEDICAL
A campus intruder caused serious injuries,A campus intruder caused serious injuries. in Hostel B hallway.,MEDICAL
A campus intruder caused serious injuries,A campus intruder caused serious injuries. in the cafeteria kitchen.,MEDICAL
A campus intruder caused serious injuries,A campus intruder caused serious injuries. in the cafeteria kitchen.!!!,MEDICAL
a campus intruder caused serious injuries,a campus intruder caused serious injuries. in the chemistry lab.,MEDICAL
A campus intruder caused serious injuries,A campus intruder caused serious injuries. in the electrical room.,MEDICAL
a campus intruder caused serious injuries,a campus intruder caused serious injuries. in the library basement.,MEDICAL
A campus intruder caused serious injuries,A campus intruder caused serious injuries. in the library basement.!!!,MEDICAL
A campus intruder caused serious injuries,A campus intruder caused serious injuries. in the main auditorium.,MEDICAL
a campus intruder caused serious injuries,a campus intruder caused serious injuries. near the main gate.,MEDICAL
A campus intruder caused serious injuries,A campus intruder caused serious injuries. near the main gate.!!!,MEDICAL
A campus intruder is completely out of control,A campus intruder is completely out of control.,ADMIN
A campus intruder is completely out of control,A campus intruder is completely out of control. in the cafeteria kitchen.,ADMIN
A campus intruder is completely out of control,A campus intruder is completely out of control. in the cafeteria kitchen.!!!,ADMIN
A campus intruder is completely out of control,A campus intruder is completely out of control. in the chemistry lab.,ACADEMIC
a campus intruder is completely out of control,a campus intruder is completely out of control. in the electrical room.,ADMIN
a campus intruder is completely out of control,a campus intruder is completely out of control. in the library basement.,LIBRARY
a campus intruder is completely out of control,a campus intruder is completely out of control. in the main auditorium.,ADMIN
A campus intruder is completely out of control,A campus intruder is completely out of control. near the main gate.,ADMIN
A campus intruder is emitting toxic fumes,A campus intruder is emitting toxic fumes.,MEDICAL
A campus intruder is emitting toxic fumes,A campus intruder is emitting toxic fumes. in Hostel B hallway.,MEDICAL
A campus intruder is emitting toxic fumes,A campus intruder is emitting toxic fumes. in Hostel B hallway.!!!,MEDICAL
a campus intruder is emitting toxic fumes,a campus intruder is emitting toxic fumes. in the cafeteria kitchen.,MEDICAL
A campus intruder is emitting toxic fumes,A campus intruder is emitting toxic fumes. in the cafeteria kitchen.!!!,MEDICAL
A campus intruder is emitting toxic fumes,A campus intruder is emitting toxic fumes. in the chemistry lab.,MEDICAL
